id,id_loc,province_state,country_region,lat,long,date,confirmed_to_date,new_confirmed,deaths_to_date,new_deaths,recovered_to_date,new_recovered
2010,106,,Iceland,64.9631,-19.0208,2020-02-02,0,0,0,0,0,0
2011,107,,Lithuania,55.1694,23.8813,2020-02-02,0,0,0,0,0,0
2012,108,,Mexico,23.6345,-102.5528,2020-02-02,0,0,0,0,0,0
2013,109,,New Zealand,-40.9006,174.886,2020-02-02,0,0,0,0,0,0
2014,110,,Nigeria,9.082,8.6753,2020-02-02,0,0,0,0,0,0
2015,111,Western Australia,Australia,-31.9505,115.8605,2020-02-02,0,0,0,0,0,0
2016,112,,Ireland,53.1424,-7.6921,2020-02-02,0,0,0,0,0,0
2017,113,,Luxembourg,49.8153,6.1296,2020-02-02,0,0,0,0,0,0
2018,114,,Monaco,43.7333,7.4167,2020-02-02,0,0,0,0,0,0
2019,115,,Qatar,25.3548,51.1839,2020-02-02,0,0,0,0,0,0
2020,116,"Snohomish County, WA",US,48.033,-121.8339,2020-02-02,0,0,0,0,0,0
2021,117,,Ecuador,-1.8312,-78.1834,2020-02-02,0,0,0,0,0,0
2022,118,,Azerbaijan,40.1431,47.5769,2020-02-02,0,0,0,0,0,0
2023,119,,Czech Republic,49.8175,15.473,2020-02-02,0,0,0,0,0,0
2024,120,,Armenia,40.0691,45.0382,2020-02-02,0,0,0,0,0,0
2025,121,,Dominican Republic,18.7357,-70.1627,2020-02-02,0,0,0,0,0,0
2026,122,"Providence, RI",US,41.824,-71.4128,2020-02-02,0,0,0,0,0,0
2027,123,,Indonesia,-0.7893,113.9213,2020-02-02,0,0,0,0,0,0
2028,124,,Portugal,39.3999,-8.2245,2020-02-02,0,0,0,0,0,0
2029,125,,Andorra,42.5063,1.5218,2020-02-02,0,0,0,0,0,0
2030,126,Tasmania,Australia,-41.4545,145.9707,2020-02-02,0,0,0,0,0,0
2031,127,,Latvia,56.8796,24.6032,2020-02-02,0,0,0,0,0,0
2032,128,,Morocco,31.7917,-7.0926,2020-02-02,0,0,0,0,0,0
2033,129,,Saudi Arabia,24,45,2020-02-02,0,0,0,0,0,0
